date,open,high,low,close,volume
2018/01/25,229.8788,235.2248,228.5423,229.8788,"46,214"
2018/01/26,228.5423,229.4333,225.8693,227.2058,"43,514"
2018/01/29,230.7698,232.9973,227.2058,230.3243,"31,306"
2018/01/30,228.0968,229.4333,224.9783,225.4238,"37,410"
2018/01/31,225.4238,229.4333,224.5328,227.2058,"45,807"
2018/02/01,229.4333,232.5518,228.9878,231.2153,"30,900"
2018/02/02,230.7698,231.6608,227.2058,231.2153,"25,707"
2018/02/05,223.6418,226.7603,223.1963,225.4238,"46,554"
2018/02/06,216.0682,216.9592,208.4947,212.9497,"104,448"
2018/02/07,218.2957,218.7412,213.3952,213.8407,"82,299"
2018/02/08,213.3952,215.6227,212.0587,212.5042,"31,192"
2018/02/09,204.9307,207.6037,203.5942,207.1582,"65,939"
2018/02/12,209.8312,211.6132,209.3857,210.7222,"42,917"
2018/02/21,217.8502,217.8502,215.6227,216.0682,"76,396"
2018/02/22,217.4047,217.4047,212.9497,213.3952,"45,492"
2018/02/23,214.7317,218.2957,214.7317,218.2957,"26,985"
2018/02/26,220.0777,220.5232,218.2957,219.6322,"36,165"
2018/02/27,223.1963,223.1963,219.1867,219.1867,"44,699"
2018/03/01,217.4047,218.2957,215.6227,216.5137,"43,847"
2018/03/02,213.8407,214.7317,212.5042,213.8407,"35,289"
2018/03/05,216.0682,216.5137,214.2862,215.1772,"27,337"
2018/03/06,218.7412,222.7508,218.7412,222.7508,"36,945"
2018/03/07,220.9687,221.4142,219.1867,220.0777,"30,391"
2018/03/08,222.3052,224.0873,221.8597,222.3052,"20,645"
2018/03/09,222.7508,223.6418,221.4142,223.1963,"22,887"
2018/03/12,224.5328,227.2058,224.0873,226.3148,"25,100"
2018/03/13,227.6513,230.7698,227.2058,230.7698,"34,264"
2018/03/14,228.5423,229.4333,227.6513,228.9878,"24,254"
2018/03/15,229.8788,229.8788,227.2058,227.2058,"19,396"
2018/03/16,225.4238,228.0968,222.3052,227.2058,"62,989"
2018/03/19,224.9783,227.6513,223.6418,227.2058,"22,440"
2018/03/20,225.4238,226.3148,224.0873,225.4238,"22,335"
2018/03/21,227.2058,227.2058,223.6418,224.9783,"32,977"
2018/03/22,226.7603,226.7603,222.3052,224.0873,"27,000"
2018/03/23,218.2957,220.0777,217.4047,218.2957,"52,974"
2018/03/26,215.1772,217.8502,215.1772,216.9592,"39,487"
2018/03/27,220.9687,223.6418,220.0777,223.6418,"31,100"
2018/03/28,220.5232,220.9687,217.4047,218.2957,"29,924"
2018/03/29,216.5137,220.0777,216.0682,217.4047,"36,427"
2018/03/30,220.5232,222.3052,219.1867,219.1867,"16,996"
2018/03/31,220.5232,221.8597,219.6322,220.5232,"3,603"
2018/04/02,221.4142,221.8597,218.2957,219.6322,"19,029"
2018/04/03,216.5137,217.8502,215.6227,217.4047,"35,813"
2018/04/09,220.9687,220.9687,216.9592,218.2957,"35,465"
2018/04/10,217.8502,221.8597,216.9592,218.7412,"25,268"
2018/04/11,219.6322,221.4142,219.6322,220.9687,"21,777"
2018/04/12,221.4142,221.4142,217.4047,218.2957,"20,476"
2018/04/13,219.1867,219.1867,217.4047,217.8502,"19,946"
2018/04/16,216.5137,217.4047,215.6227,216.9592,"21,608"
2018/04/17,216.5137,216.9592,211.6132,212.0587,"42,756"
2018/04/18,213.3952,215.1772,210.7222,212.0587,"44,768"
2018/04/19,215.6227,217.8502,214.7317,217.8502,"33,230"
2018/04/20,203.1487,206.2672,203.1487,204.0397,"129,890"
2018/04/23,201.8122,202.7032,200.4757,201.8122,"71,901"
2018/04/24,200.4757,202.7032,200.4757,202.2577,"45,206"
2018/04/25,200.9212,201.3667,199.5847,200.4757,"48,975"
2018/04/26,200.4757,200.9212,196.9117,197.8027,"48,176"
2018/04/27,200.4757,200.9212,196.9117,199.1392,"34,443"
2018/04/30,200.0302,203.1487,198.2482,202.2577,"28,500"
2018/05/02,202.2577,202.7032,198.2482,198.6937,"38,436"
2018/05/03,196.9117,198.2482,196.0207,196.4662,"33,507"
2018/05/04,196.9117,199.5847,196.4662,198.6937,"28,477"
2018/05/07,200.4757,200.9212,197.3572,199.1392,"23,751"
2018/05/08,199.5847,203.5942,199.1392,203.1487,"40,324"
2018/05/09,203.5942,206.7127,203.5942,204.4852,"35,597"
2018/05/10,205.8217,206.2672,204.0397,204.4852,"27,530"
2018/05/11,206.7127,208.4947,205.3762,207.6037,"30,693"
2018/05/14,208.9402,208.9402,207.1582,207.6037,"23,577"
2018/05/15,208.0492,208.4947,204.4852,205.3762,"23,771"
2018/05/16,204.4852,205.3762,203.5942,205.3762,"14,834"
2018/05/17,205.8217,206.2672,201.8122,201.8122,"27,702"
2018/05/18,200.9212,202.7032,199.1392,199.1392,"28,187"
2018/05/21,200.4757,204.9307,200.4757,204.0397,"16,417"
2018/05/22,204.9307,208.0492,204.0397,204.0397,"22,422"
2018/05/23,206.2672,206.2672,203.5942,203.5942,"26,737"
